"id","category","objective","persona","title","prompt","tags","level","heartbeat","expected_output"
"M001","Prospection commerciale","Découvrir","Founder","Prospects qualifiés pour mon SaaS dans mon réseau","Identifie dans mon réseau LinkedIn (1er degré) les prospects qualifiés pour mon produit.

CONTEXTE PRODUIT
- Décris ton produit en 2 lignes : [À COMPLÉTER : nom, ce qu'il fait, à qui]
- Persona cible (ICP) : [À COMPLÉTER : poste, taille de boîte, secteur]
- Douleur résolue : [À COMPLÉTER : problème spécifique]
- Pricing : [À COMPLÉTER : fourchette]

CRITÈRES DE QUALIFICATION
1. Match ICP strict (poste + secteur + taille de boîte cohérents)
2. Signal d'urgence ou de douleur dans les 30 derniers jours (post, commentaire, changement de poste, levée annoncée)
3. Profil acheteur probable (décideur ou influenceur direct)

POUR CHAQUE PROSPECT
- Nom + poste + entreprise
- Signal exact détecté (citation si possible)
- Niveau de douleur perçu (faible/moyen/fort)
- Angle d'approche en 2 phrases max
- Hook de premier message personnalisé

EXCLUSIONS
- Profils en recherche d'emploi
- Pages entreprises sans signal humain
- Annonces froides sans douleur exprimée

Trie par niveau de douleur décroissant. Limite à 10 prospects max.","B2B,SaaS,ICP,signal-douleur,outbound","avancé","oui","Liste hiérarchisée 10 prospects max avec angle + hook"
"M002","Prospection commerciale","Cibler","Founder","Mes 5 meilleurs leads à contacter cette semaine","Parmi mes contacts LinkedIn, identifie les 5 personnes qui combinent au plus haut degré ces 3 critères :
1. Match ICP de mon produit (à rappeler ci-dessous)
2. Signal récent d'achat ou de douleur (7 derniers jours en priorité)
3. Forte probabilité de réponse (interaction antérieure, second degré commun, ancien collègue, etc.)

MON ICP
[À COMPLÉTER : poste cible, secteur, taille, géographie]

MON PRODUIT
[À COMPLÉTER : nom + value prop en 1 phrase]

Pour chaque prospect, donne :
- Score de priorité 1-5
- Le signal précis qui justifie le contact maintenant
- Ce que je dois mentionner dans le premier message pour montrer que je l'ai vraiment vu
- Le canal recommandé (LinkedIn DM / email / commentaire de post)

Format : tableau condensé, prêt à imprimer.","priorisation,outbound,top-5,quick-wins","intermédiaire","non","Top 5 actionnable avec score + canal"
"M003","Prospection commerciale","Surveiller","Founder","Veille continue sur mes signaux d'achat","Surveille en continu mon réseau LinkedIn et ping-moi quand l'un des signaux suivants apparaît chez un prospect potentiel pour mon produit :

SIGNAUX FORTS (ping immédiat)
- Changement de poste vers un rôle décideur (CTO, VP, Head of, Director)
- Post exprimant une douleur que mon produit résout (mots-clés : [À COMPLÉTER])
- Levée de fonds annoncée (chez l'entreprise du prospect)
- Embauche d'une équipe (signal de croissance budget)

SIGNAUX FAIBLES (regroupement hebdomadaire)
- Like/commentaire sur des posts d'éditeurs concurrents
- Participation à un événement sectoriel
- Promotion interne

MON ICP
[À COMPLÉTER]

MON PRODUIT
[À COMPLÉTER]

Format de notification : nom du prospect, signal détecté, action recommandée en 1 phrase.","veille,signaux-achat,heartbeat,whatsapp","avancé","oui","Notifications WhatsApp ciblées au fil de l'eau"
"M004","Prospection commerciale","Activer","Founder","Message d'approche personnalisé pour [PROSPECT]","Rédige-moi un message d'approche LinkedIn pour [NOM DU PROSPECT].

CONTEXTE
- Mon produit : [À COMPLÉTER]
- Sa douleur probable : [À COMPLÉTER ou laisser Morphic inférer depuis son profil]
- Ce que je veux à la fin du message : un call de 15 min cette semaine

CONTRAINTES DE STYLE
- Maximum 4 phrases
- Pas de ""j'espère que vous allez bien""
- Premier mot doit accrocher (pas ""Bonjour"")
- Référence concrète à son profil ou un de ses posts récents
- Question ouverte à la fin, pas une demande directe

Donne-moi 3 variantes : une factuelle, une provoquante, une empathique.","message,personnalisation,3-variantes,activation","débutant","non","3 messages prêts à copier dans LinkedIn"
"M005","Prospection commerciale","Découvrir","Sales","Comptes cibles dans mon territoire qui ne sont pas encore travaillés","Identifie dans mon réseau LinkedIn et les pages entreprises associées les comptes qui :
1. Correspondent à mon ICP (à rappeler ci-dessous)
2. Ne sont PAS dans mon CRM actuel (je liste mes comptes existants ci-dessous)
3. Présentent un signal de fenêtre de tir : levée récente, embauche tech, changement de C-level, ouverture de bureau

MON ICP
[À COMPLÉTER : secteur, ARR estimé, taille équipe, géographie]

COMPTES DÉJÀ TRAVAILLÉS (NE PAS REMONTER)
[À COMPLÉTER : liste des entreprises dans mon CRM]

Pour chaque compte trouvé :
- Nom de l'entreprise + URL LinkedIn
- Signal détecté (avec date)
- Décideur LinkedIn présumé (poste + nom si visible)
- Pourquoi maintenant (en 1 phrase)

Trie par ""fenêtre de tir"" qui se referme le plus vite.","territoire,CRM,nouveaux-comptes,fenetre-tir","avancé","oui","Liste de comptes vierges avec décideur identifié"
"M006","Prospection commerciale","Cibler","Sales","Les 10 prospects les plus chauds de ma pipeline LinkedIn","Score les prospects de mon réseau LinkedIn 1er degré sur ma proposition de valeur, et donne-moi les 10 plus chauds à travailler cette semaine.

MA PROPOSITION DE VALEUR
[À COMPLÉTER]

CRITÈRES DE SCORING
- Adéquation rôle (40%)
- Signal d'achat récent (30%)
- Probabilité de réponse / interaction passée (20%)
- Timing : taille pipeline trimestre (10%)

POUR CHAQUE PROSPECT
- Score sur 100
- 1 phrase qui justifie le score
- Action recommandée pour cette semaine (DM, commentaire, intro warm, autre)

Donne le tableau final, sans commentaire intermédiaire.","scoring,top-10,pipeline,activation","intermédiaire","non","Top 10 scorés et plan d'action hebdo"
"M007","Prospection commerciale","Surveiller","Sales","Détection automatique de nouveaux signaux d'achat","Mets en veille continue mon territoire et alerte-moi quand un de ces événements se produit chez un prospect ou compte cible :

ÉVÉNEMENTS DÉCLENCHEURS
- Changement de poste vers un rôle décideur dans mon ICP
- Post du prospect mentionnant un mot-clé de ma liste : [À COMPLÉTER]
- Annonce de levée de fonds Série A/B chez un compte cible
- Lancement de produit chez un compte cible
- Embauche d'un VP Sales / RevOps / CRO (signal d'investissement go-to-market)

MES COMPTES CIBLES
[À COMPLÉTER]

MON ICP DE DÉCIDEUR
[À COMPLÉTER]

Notification format court : ""@Prospect / @Compte | Événement | Action recommandée en 5 mots"".","veille,trigger-events,heartbeat,whatsapp","avancé","oui","Alertes WhatsApp courtes au déclenchement"
"M008","Prospection commerciale","Activer","Sales","Séquence de relance personnalisée pour [PROSPECT]","Construis-moi une séquence de relance 4 touches pour [NOM DU PROSPECT] qui ne m'a pas répondu après mon premier message.

CONTEXTE
- Ce que j'ai déjà envoyé : [À COMPLÉTER ou résumer]
- Date du premier message : [À COMPLÉTER]
- Sa stack / sa boîte / son rôle : (à inférer depuis son profil)

LA SÉQUENCE
- Touche 2 (J+3) : LinkedIn DM, soft, angle différent
- Touche 3 (J+7) : commentaire intelligent sur un de ses posts récents
- Touche 4 (J+14) : email pro, value-first, un insight chiffré pour son secteur
- Touche 5 (J+21) : break-up message LinkedIn

Chaque touche : objectif, formulation exacte, justification du timing.","sequence,relance,4-touches,multicanal","intermédiaire","non","Séquence 4 messages prête à programmer"
"M009","Prospection commerciale","Découvrir","Recruteur","Clients potentiels pour mes services de recrutement","Trouve dans mon réseau LinkedIn les entreprises et personnes qui pourraient devenir clients de mes services de recrutement.

CRITÈRES
1. Entreprise tech/digitale en croissance (5-200 personnes idéalement)
2. Signal d'embauche actif : 3+ postes ouverts, post ""we're hiring"", embauche d'un VP tech
3. Décideur visible : Founder, CEO, CTO, Head of People, ou TA Manager
4. Pas de DRH dédiée encore (signal qu'ils externalisent ou cherchent du soutien)

MA SPÉCIALITÉ
[À COMPLÉTER : tech / data / sales / autre]

GÉOGRAPHIE
[À COMPLÉTER]

POUR CHAQUE PROSPECT
- Entreprise + décideur identifié
- Volume de postes ouverts
- Postes les plus durs à pourvoir (signal de besoin d'un cabinet)
- Angle d'approche en 1 phrase

Trie par fenêtre d'urgence (postes ouverts depuis longtemps en priorité).","cabinet-recrutement,client,entreprise-croissance","intermédiaire","oui","Liste de boîtes en croissance avec décideur RH"
"M010","Prospection commerciale","Découvrir","Job seeker","Boîtes qui pourraient avoir besoin de mon profil sans avoir publié d'offre","Identifie les entreprises de mon réseau LinkedIn (1er + 2e degré) qui pourraient avoir besoin de mon profil même si elles n'ont pas publié d'offre publique.

MON PROFIL
- Mon poste actuel : [À COMPLÉTER]
- Mes compétences clés : [À COMPLÉTER]
- Mes années d'expérience : [À COMPLÉTER]
- Géographie souhaitée : [À COMPLÉTER]

SIGNAUX À DÉTECTER
- Levée de fonds récente → augmentation des effectifs probable
- Lancement d'un nouveau produit → besoin de profils sur cette stack
- Départ d'une personne dont le poste correspond au mien
- Croissance LinkedIn (>10% en 6 mois)
- Post d'un dirigeant mentionnant une douleur que je peux résoudre

POUR CHAQUE BOÎTE
- Pourquoi elle pourrait avoir besoin de mon profil maintenant
- Personne à contacter en priorité (avec poste exact)
- Hook d'approche personnalisé en 2 phrases

Limite à 10 boîtes max.","spontane,marche-cache,boites-croissance","avancé","oui","10 boîtes en marché caché avec contact"
